Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers
OpenBookQA,OpenBookQA,"A celestial body grows a few meters in size every year, and the mass increases as well. After a hundred years, the celestial body will?",have stronger gravity.,have stronger gravity.,repel the sun.; attract the sun.; have weaker gravity.
OpenBookQA,OpenBookQA,A scale can?,let you know if the dog needs to lose a few pounds.,let you know if the dog needs to lose a few pounds.,give an estimate of a dog's age.; measure how long a dog is.; make an educated guess about a dog's breed.
OpenBookQA,OpenBookQA,Knowing the formula for speed?,would aid in calculating road time needed to reach a destination.,would aid in calculating road time needed to reach a destination.,would aid in calculating weight of the car.; would aid in figuring out traffic congestion patterns.; would aid in using a map.
OpenBookQA,OpenBookQA,The respiratory system allows the body to?,oxygenate blood from the air.,oxygenate blood from the air.,intake carbon dioxide into the blood from the air.; combine oxygen and carbon dioxide in the blood.; remove oxygen from the blood.
OpenBookQA,OpenBookQA,All natural resources come from nature such as?,moisture coming from oceans.,moisture coming from oceans.,cats coming from shelters.; cake coming from bakers.; money coming from the government.
OpenBookQA,OpenBookQA,"To burn away the darkness, even a tiny light will do, such as?",a dark wick being touched by a match.,a dark wick being touched by a match.,a small smile from a friend.; a little feeling of hope.; a small voice in the dark.
OpenBookQA,OpenBookQA,"if a ball on the beach bursts, what would most likely escape?",the gaseous content in it.,the gaseous content in it.,the fishes on the shore.; none of these.; the sharks in it.
OpenBookQA,OpenBookQA,Leaves play a role in the making of?,a life sustaining element humans need.,a life sustaining element humans need.,carbon dioxide for humans to breathe.; the chemicals needed to make table salt.; helium for party balloons.
OpenBookQA,OpenBookQA,A stately red maple in a dense forest is supported by its?,trunk.,trunk.,pine needles.; leaves.; upward thrust.
OpenBookQA,OpenBookQA,One source of pollution are?,trash heaps.,trash heaps.,recycling bins.; green ways.; natural streams.
OpenBookQA,OpenBookQA,nonrenewable resources include all but?,sunlight.,sunlight.,coal.; oil.; natural gas.
OpenBookQA,OpenBookQA,A full moon is caused by?,orbiting.,orbiting.,werewolves.; moonlight.; tides.
OpenBookQA,OpenBookQA,"A man is teaching his daughter to ride a bike. He emphasizes the need for her feet to remain on the pedals, so that?",the bike propels forward.,the bike propels forward.,the bike is fun.; the bike hold still.; the bike is pink.
OpenBookQA,OpenBookQA,Crop rotation?,allows loam to replenish its nutrient supply.,allows loam to replenish its nutrient supply.,hurts the overall crop reap.; allows farmers to take a break.; prevents fertilizer from working.
OpenBookQA,OpenBookQA,"Someday, the ground under the pile of rotting grain in the field will be?",more fertile.,more fertile.,barren.; a hole.; less fertile.
OpenBookQA,OpenBookQA,In what way do mice come into the world?,through a muscular canal.,through a muscular canal.,by surgical interference by veterinarians.; through a thick shell.; digging upwards through sand.
OpenBookQA,OpenBookQA,Pouring lemon juice into water?,creates a beverage lemon flavored.,creates a beverage lemon flavored.,flavors milk with lemons.; is mostly water still.; uses only real lemons.
OpenBookQA,OpenBookQA,"If a road is bumpy and another road is smooth, the bumpier road?",will be rough on tires.,will be rough on tires.,will be lower than the smooth road.; will be longer than the smooth road.; will have cars driving quickly.
OpenBookQA,OpenBookQA,Shelter can protect humans from?,catastrophic natural events.,catastrophic natural events.,space.; aging.; time.
OpenBookQA,OpenBookQA,Tree rings can?,tell you what year a tree was planted.,tell you what year a tree was planted.,indicate how often the tree needs pruning.; tell you how tall a tree is.; indicate the year the tree will die.
OpenBookQA,OpenBookQA,what do animals need to protect them from bad weather?,housing.,housing.,food.; water.; clothing.
OpenBookQA,OpenBookQA,Roses are propped up by?,green structures that rise from the ground.,green structures that rise from the ground.,green structures that grow from concrete.; green structures that grow from brick.; green structures that fall from the sky.
OpenBookQA,OpenBookQA,resources other than manmade can only be found on?,our planet.,our planet.,a laboratory.; your home.; the moon.
OpenBookQA,OpenBookQA,A way to tell if a rock could possibly hold Fe inside is to?,hover a magnet over it.,hover a magnet over it.,take the rock home.; ask someone at school.; look at it closely.
OpenBookQA,OpenBookQA,The black bear in Alaska is known for hunting this type of feast?,fish.,fish.,moose.; sasquatch.; elk.
OpenBookQA,OpenBookQA,Draining the rain with a rain gutter onto bare ground through a spout will?,make the ground underneath contain less soil.,make the ground underneath contain less soil.,attract more dirt to where the water is falling.; cause the ground to become very hard.; draw up more water from underground.
OpenBookQA,OpenBookQA,on which of these does a ball fall faster from a height?,our world.,our world.,on the moon.; on pluto.; none of these.
OpenBookQA,OpenBookQA,"A storm is coming and dark clouds are rolling in, which were formed after?",fluid was drawn from the air.,fluid was drawn from the air.,rain was drawn on a sheet.; water was wet in the future.; people drew rain storms.
OpenBookQA,OpenBookQA,Animals of the Arctic thrive in?,Snow Environment.,Snow Environment.,Tropical Environment.; Warm Climates.; Water Environments.
OpenBookQA,OpenBookQA,Keeping your fast food bags in the car until you get home instead of throwing them out the window is an example of protecting the?,environment.,environment.,Car.; Restaurant.; people.
OpenBookQA,OpenBookQA,National parks?,take measures to protect their animal populations.,take measures to protect their animal populations.,allow unlimited hunting of endangered species.; are full of pollution.; get very few visitors on a yearly basis.
OpenBookQA,OpenBookQA,"Using trash in the way it was used in the last scene of the 'Back to the Future' movie is, most ideally, an example of:?",an alternative fuel.,an alternative fuel.,creative filming.; wishful thinking.; cleaning the environment.
OpenBookQA,OpenBookQA,Water boiling in a pot on a stove is an example of?,thermal conduction.,thermal conduction.,electrocution.; freezing.; hydroplaning.
OpenBookQA,OpenBookQA,The ground moving when the atomic bombs landed is similar to?,earthquake.,earthquake.,world war.; geyser spout.; volcano.
OpenBookQA,OpenBookQA,What do animals do if their habitat cannot support them?,abandon it.,abandon it.,fertilize the habitat.; fortify area.; stay in area.
OpenBookQA,OpenBookQA,What offers a tree with stability and a way to distribute nutrients throughout the plant?,trunk.,trunk.,sap.; leaves.; fruit.
OpenBookQA,OpenBookQA,For what does a stove generally generate heat?,heating nutrients to appropriate temperatures.,heating nutrients to appropriate temperatures.,warming the air in the area.; entertaining various visitors and guests.; to create electrical charges.
OpenBookQA,OpenBookQA,A running car engine could?,leave the hood hot to the touch.,leave the hood hot to the touch.,cause the trunk to pop open.; leave the hood cold to the touch.; cause the car doors to spring open.
OpenBookQA,OpenBookQA,Standing near a campfire?,will keep you toasty.,will keep you toasty.,will leave you shivering.; will make it difficult to see in the dark.; will cool you down.
OpenBookQA,OpenBookQA,Each of the moon's phases usually occurs once per?,30 days.,30 days.,week.; day.; year.
OpenBookQA,OpenBookQA,What is an example of an animal needing warmth for survival?,a deer nestled into long grass.,a deer nestled into long grass.,a rabbit hopping through the snow.; a bat catching a mosquito.; a dog eating from a dish.
OpenBookQA,OpenBookQA,"As an herbivore, deers will eat?",A bush.,A bush.,Meat.; Chicken.; Tires.
OpenBookQA,OpenBookQA,How many minutes are in a 24 hour day?,1440.,1440.,24.; 2400.; 240.
OpenBookQA,OpenBookQA,The moon is what to the earth?,the closest body in in space.,the closest body in in space.,the largest star in the sky.; the brightest celestial object.; the biggest thing in the universe.
OpenBookQA,OpenBookQA,which of these would lead to a rise in speed and acceleration?,a person running behind and kicking a balloon.,a person running behind and kicking a balloon.,a person sitting still.; a person standing in place.; a person stopping an oncoming ball.
OpenBookQA,OpenBookQA,Weathering is?,a dandelion growing thru a line in asphalt.,a dandelion growing thru a line in asphalt.,wheat growing in a field.; peat moss growing on river rocks.; air plants growing in a shell.
OpenBookQA,OpenBookQA,which of these people will have the best sight while driving to work?,a person in the spring morning.,a person in the spring morning.,a person driving in the blizzard.; a person driving in the night.; a person driving in the rain.
OpenBookQA,OpenBookQA,A drop off in predator population?,can indicate a nutrient insufficient environment.,can indicate a nutrient insufficient environment.,indicates a boom in animal reproduction.; can indicate a drop off in frigid temperatures.; indicates plentiful amounts of water.
OpenBookQA,OpenBookQA,"Some plants are easy for hummingbirds to sip nectar from. While the hummingbirds are taking nectar, the plants also gain something, which is?",a pollinator.,a pollinator.,bird friends.; more nectar.; extra food.
OpenBookQA,OpenBookQA,Protect the environment by?,using less hairspray.,using less hairspray.,using more water.; using more packaging.; using less renewables.
OpenBookQA,OpenBookQA,A flashlight works because the batteries inside of it produce chemical energy that?,is transferred to another type.,is transferred to another type.,makes the lights bright.; burn into the plastic.; lights up a room.
OpenBookQA,OpenBookQA,If I wanted to gain energy I could?,Consume an apple.,Consume an apple.,Brush my hair.; Wash my face.; Go running.
OpenBookQA,OpenBookQA,If it is dark outside it is hard to see an object because it there is no?,light.,light.,objects.; sight.; movement.
OpenBookQA,OpenBookQA,"Electricity can flow as long as it has a conductor to help it along, such as?",nickel earrings.,nickel earrings.,cardboard paperclips.; wooden bowls.; rubber soles.
OpenBookQA,OpenBookQA,Which animal has the best camouflage in the Sahara?,a horned viper.,a horned viper.,a koala bear.; Gyrfalcon.; a sloth.
OpenBookQA,OpenBookQA,Magnetism can cause?,Radiation isotope creation.,Radiation isotope creation.,How to Swim.; Head to Rotate.; Clouds to Move.
OpenBookQA,OpenBookQA,panting is the equivalent to humans?,expelling water from their dermis.,expelling water from their dermis.,begging for water constantly.; crying for hours on end.; drowning in a small puddle.
OpenBookQA,OpenBookQA,The sun appears to move because of the rotation of a?,planet.,planet.,star.; moon.; sun.
OpenBookQA,OpenBookQA,I need what to calculate the length from my big toe to my little toe?,Tape Measure.,Tape Measure.,Calculator.; A Graph.; A Microscope.
OpenBookQA,OpenBookQA,A leaf falling from a tree means?,I should wear a coat.,I should wear a coat.,I should wear a tank top.; I should wear sandals.; I should go to the beach.
OpenBookQA,OpenBookQA,A material that can be burned to produce electricity can be made from?,algae.,algae.,water.; air.; electronics.
OpenBookQA,OpenBookQA,Sowing plants native to an ecosystem?,is a worthwhile action.,is a worthwhile action.,is a useless action.; is a harmful action.; is a neutral action.
OpenBookQA,OpenBookQA,"The world changes over time, and an example of this could be?",cities buried under lava rock.,cities buried under lava rock.,sand covering a beach front.; a lake hosting hundreds of fish.; seas having saltwater in them.
OpenBookQA,OpenBookQA,"A swordbill is able to drink from long, narrow flowers where other birds are unable to because of?",genetic advantage of swordbills.,genetic advantage of swordbills.,the flower pushes them away.; the swordbill's skill at drinking.; lack of experience in pollinating.
OpenBookQA,OpenBookQA,If you had a telescope what is something meant to be viewed by it?,Alcor.,Alcor.,Greater Pewee.; Vibrio.; Heisenberg.
OpenBookQA,OpenBookQA,An electron microscope can?,recreate an entire image.,recreate an entire image.,move small magnets around.; create completed replicas of animals.; burn plastic with ease.
OpenBookQA,OpenBookQA,This is a rarely used way to produce electricity.?,tidal energy.,tidal energy.,wind energy.; solar power.; hydroelectric power.
OpenBookQA,OpenBookQA,A substance people use for writing also helps an animal deal with?,predators.,predators.,food.; human activity.; climate change.
OpenBookQA,OpenBookQA,Where might you find a gecko?,Ecuador.,Ecuador.,South Pole.; Antartica.; Ross Ice Shelf.
OpenBookQA,OpenBookQA,by congregating together a collection of organisms chances of survival?,raises.,raises.,decreases.; stops.; stays the same.
OpenBookQA,OpenBookQA,Insects are eaten by?,lizard-like amphibians.,lizard-like amphibians.,dogs.; flies.; cats.
OpenBookQA,OpenBookQA,Rabbits consume?,verdant organisms that grow from the ground.,verdant organisms that grow from the ground.,verdant fish that swim through the sea.; verdant monkeys that swing from the trees.; verdant animals that fly from the sky.
OpenBookQA,OpenBookQA,Beaches are harmed?,when beach goers leave behind detritus on the sand.,when beach goers leave behind detritus on the sand.,when turtles lay their eggs.; when children play in the ocean.; when seagulls nest in dunes.
OpenBookQA,OpenBookQA,which of these could lead to the introduction of new plant species to a place?,all the mentioned options.,all the mentioned options.,a botanist introducing them.; a dog traveling through a field.; a farmer introducing them.
OpenBookQA,OpenBookQA,"A man is building a cabin in a forested area that receives a lot of snow in the winter. The man would like the cabin to retain heat in the winter so that the cabin stays warm and that it is inexpensive to heat. In order to facilitate this desire, the man lines the walls of his cabin with?",thermal insulator.,thermal insulator.,glass.; thermal gravity.; hard plastic.
OpenBookQA,OpenBookQA,To travel in an environmentally friendly way?,use a two wheel human-powered vehicle.,use a two wheel human-powered vehicle.,drive a gas guzzling truck.; take a coal powered train.; drive a car with a leaky gas tank.
OpenBookQA,OpenBookQA,Chemical changes can occur when?,Na is added to Cl.,Na is added to Cl.,plastic is used for eating utensils.; oxygen circulates in a vacuum chamber.; H2O is exposed to air.
OpenBookQA,OpenBookQA,What is an example of friction occurring?,there is more resistance driving on gravel than on concrete.,there is more resistance driving on gravel than on concrete.,a person thinks a thought.; an apple falls to the ground from a tree.; a spring bounces back and forth.
OpenBookQA,OpenBookQA,What animal will have the least pressure on it?,a falcon flying above a peak.,a falcon flying above a peak.,a fish at the bottom of the ocean.; a salmon swimming just under the surface of river.; a cat running down a street.
OpenBookQA,OpenBookQA,Deer often live near?,log cabins.,log cabins.,lions.; crocodiles.; polar bears.
OpenBookQA,OpenBookQA,What is formed by water evaporating from a solution of water and minerals?,shale.,shale.,pants.; food.; glass.
OpenBookQA,OpenBookQA,Volume can indicate?,whether an object is expansive.,whether an object is expansive.,how an object reacts to heat.; how an object smells.; the state of matter of an object.
OpenBookQA,OpenBookQA,What does tearing do to a whole?,it takes it apart.,it takes it apart.,it neutralizes the whole.; it enlarges the whole.; it puts it together.
OpenBookQA,OpenBookQA,"humans can taste flavors, and so can?",marsupials.,marsupials.,insects.; trees.; cockroaches.
OpenBookQA,OpenBookQA,"A man grows flowers in the winter using his greenhouse. The flowers blossom there, despite the cold, freezing weather and lack of sunshine, because?",they are carefully protected.,they are carefully protected.,they are regularly chilled.; they are given salt.; they are told to.
OpenBookQA,OpenBookQA,Coral can be found in?,tepid waters of the Atlantic.,tepid waters of the Atlantic.,ponds in local communities.; the rivers in mid-America.; streams in the Arctic.
OpenBookQA,OpenBookQA,"Switching on a light can complete an electrical circuit, which may?",brighten a room.,brighten a room.,turn off fans.; close a door.; use a flashlight.
OpenBookQA,OpenBookQA,Large fins?,allows for brisker movements.,allows for brisker movements.,speeds up eating time.; slows down swimming pace.; improve appearance of fish.
OpenBookQA,OpenBookQA,Which of these is a solution?,coke.,coke.,milk.; water.; clouds.
OpenBookQA,OpenBookQA,why must a cell delegate its essential functionalities?,to maximize work distribution.,to maximize work distribution.,all of these.; to avoid extra work.; to catch its prey.
OpenBookQA,OpenBookQA,On the moon people are pulled down?,less.,less.,the same.; more.; unpredictably.
OpenBookQA,OpenBookQA,It is possible to renew?,sunflowers.,sunflowers.,oil.; steel.; stones.
OpenBookQA,OpenBookQA,Grey clouds often appear before?,hail.,hail.,heat.; wind.; humidity.
OpenBookQA,OpenBookQA,A refraction of light that splits into all different colors often occurs after?,rain.,rain.,clouds.; heat.; earthquakes.
OpenBookQA,OpenBookQA,Acid rain may effect things in ways such as?,marine life becomes inedible.,marine life becomes inedible.,causing grass to grow greener.; creating craters in mountains.; turning city streets to slush.
OpenBookQA,OpenBookQA,"When hurricanes move over land, the hurricane does what?",loses capacity to withstand great force or pressure.,loses capacity to withstand great force or pressure.,speeds up a considerate amount.; stops almost at once.; gains a lot of strength.
OpenBookQA,OpenBookQA,"If you add heat to something, a chemical reaction may take place, like when?",mixed ingredients become a cupcake.,mixed ingredients become a cupcake.,ingredients are mixed in a bowl.; coffee is warmed in a microwave.; pasta is warmed on a stove.
OpenBookQA,OpenBookQA,What does a skunk produce?,sulfur-containing analog of an alcohol.,sulfur-containing analog of an alcohol.,carbonated water with bubbles.; x-rays made from radiation.; ammonia containing some liquid.
OpenBookQA,OpenBookQA,In which situation would an animal shed fur?,It is hot.,It is hot.,It is angry.; It is cold.; It is happy.
OpenBookQA,OpenBookQA,If seeds stick to the coat of an animal they can be?,transported.,transported.,stored.; eaten.; germinated.
OpenBookQA,OpenBookQA,White blood cells?,obliterate pathogens.,obliterate pathogens.,encourage pathogen growth.; increase pathogen production.; join with pathogens.
OpenBookQA,OpenBookQA,A thermal conductor may conduct energy from?,sunshine.,sunshine.,ice.; stone.; fabric.
OpenBookQA,OpenBookQA,Pulse accelerates?,when running pace increases.,when running pace increases.,when cooling down after a work out.; when running pace slows.; when entering into a sleep state.
OpenBookQA,OpenBookQA,Bicycle riding is nearly unique to certain species such as?,human beings.,human beings.,dolphins.; dogs.; small squirrels.
OpenBookQA,OpenBookQA,A species that has only 1 living member?,is on the verge of extinction.,is on the verge of extinction.,has already become extinct.; can reproduce through asexual reproduction.; should be preserved in a museum.
OpenBookQA,OpenBookQA,Springtime with animals can mean:?,more hair on the furniture.,more hair on the furniture.,thicker fur on the animal.; less hair on the furniture.; lighter colored fur on the animal.
OpenBookQA,OpenBookQA,migration is when animals travel from the northern most state to Texas during what segment of time?,winter.,winter.,birds.; spring.; lake fronts.
OpenBookQA,OpenBookQA,Transpiration can contribute to?,rain.,rain.,animals.; wind.; flowers.
OpenBookQA,OpenBookQA,Smoothing will occur?,if two pebbles rub together over long periods of time.,if two pebbles rub together over long periods of time.,if an abrasive is rubbed against cement.; if flint is struck against stone.; if bricks are thrown at each other.
OpenBookQA,OpenBookQA,Which shows a change from potential energy to kinetic energy?,an orange dropping from a tree.,an orange dropping from a tree.,a tree growing fruit.; a rock sitting still.; a person climbing a mountain.
OpenBookQA,OpenBookQA,The type of climate change known as anthropogenic is caused by this:?,humanity.,humanity.,volcanic activity.; increased sunlight.; forest fires.
OpenBookQA,OpenBookQA,What is one thing cloud precipitation can be?,unfavorable weather outlook.,unfavorable weather outlook.,a thunder boom.; a liquid fire.; none of these.
OpenBookQA,OpenBookQA,Clouds are?,Quiet heavy.,Quiet heavy.,Grass.; The color green.; Bricks.
OpenBookQA,OpenBookQA,Birds reproduce using?,eggs.,eggs.,live birth.; cloning.; mitosis.
OpenBookQA,OpenBookQA,which of these is more similar to electric particles behavior?,cars traveling on a highway.,cars traveling on a highway.,both of the above.; cars parked in a parking lot.; cars in a garage.
OpenBookQA,OpenBookQA,What comes directly from the source?,Lumber.,Lumber.,Plastic.; Denim.; White sugar.
OpenBookQA,OpenBookQA,deserts are known for having what type of climates?,scorching.,scorching.,comfortable.; moderate.; freezing.
OpenBookQA,OpenBookQA,To experience evaporation you can?,Put plastic over a plant.,Put plastic over a plant.,Pour water into a lake.; Run water in a facet.; Watch the rain fall.
OpenBookQA,OpenBookQA,A flashlight emits?,particles.,particles.,water.; bugs.; sound.
OpenBookQA,OpenBookQA,When the Earth's Northern axis is tilted away from the Sun the amount of daylight is?,shortened.,shortened.,brighter.; lengthened.; turned back.
OpenBookQA,OpenBookQA,Where is the sun located at 12:00 PM?,overhead.,overhead.,the south.; below.; the north.
OpenBookQA,OpenBookQA,We made sure to use the hose on the begonia daily so it would?,survive.,survive.,melt.; die.; freeze.
OpenBookQA,OpenBookQA,Squirrels are seed dispersers because?,they bury their food.,they bury their food.,they prefer to eat acorns.; squirrels live in trees.; they eat lots of nuts.
OpenBookQA,OpenBookQA,What type of human diet would be most comparable to a cow?,Vegan.,Vegan.,Pescaterian.; Atkins Diet.; Omnivore.
OpenBookQA,OpenBookQA,which of these individuals would be more healthy?,a teacher who sleeps eight hours a day.,a teacher who sleeps eight hours a day.,a student who sleeps two hours daily.; a woman who sleeps three hours a day.; a man who practices sleep deprivation.
OpenBookQA,OpenBookQA,pushing against a rolling boulder will decrease its?,impetus.,impetus.,size.; height.; ambitions.
OpenBookQA,OpenBookQA,In a desert area plants grow?,farther apart.,farther apart.,underwater.; closer together.; in lines.
OpenBookQA,OpenBookQA,what is one use for a radio?,transferring signals.,transferring signals.,sending light signals.; sending goods.; none of these.
OpenBookQA,OpenBookQA,"If something good is increased, survival of organisms needing it increase, such as when?",amoeba get nutrients.,amoeba get nutrients.,cars get food.; kittens get yarn.; babies get toys.
OpenBookQA,OpenBookQA,Turning beef from red to brown requires energy from?,heat.,heat.,sound.; color.; light.
OpenBookQA,OpenBookQA,"A person is travelling and needs to know how much further to go, so for the remainder of the trip, he is?",noting in meters.,noting in meters.,distance in millimeters.; using square feet.; measuring with inches.
OpenBookQA,OpenBookQA,What is the earth's surface made of?,Aggregate minerals.,Aggregate minerals.,Grass.; Asphalt.; Water.
OpenBookQA,OpenBookQA,A plant can germinate in another place when a person rubs against its?,flowers.,flowers.,roots.; leaves.; stems.
OpenBookQA,OpenBookQA,"A frog reproduces with some other frogs, then watches over the potential offspring which are?",resting in sacs on leaves.,resting in sacs on leaves.,born life and moving.; floating in outer space.; melted in the rain.
OpenBookQA,OpenBookQA,What room in a house would signify the excretory system?,bathroom.,bathroom.,dining room.; living room.; kitchen.
OpenBookQA,OpenBookQA,"If a tree burns down, it can be made right by?",placing seed in dirt.,placing seed in dirt.,buying a plastic tree.; visiting a rain forest.; reading about it in the paper.
OpenBookQA,OpenBookQA,What role does the first step in the food chain have?,producer.,producer.,secondary consumer.; decomposer.; consumer.
OpenBookQA,OpenBookQA,Water at 50 degree  C is?,equally distant from the melting and boiling points.,equally distant from the melting and boiling points.,closer to the boiling point of water.; closer to the melting point of ice.; below the melting point of ice.
OpenBookQA,OpenBookQA,A phase change is?,Jello's transformation.,Jello's transformation.,Growing a plant.; Building a car.; Water changing temperatures.
OpenBookQA,OpenBookQA,Owls spend their nights?,scanning their territory for field mice.,scanning their territory for field mice.,tending to their homes.; sleeping in hollow logs.; hanging out with other owls.
